Capa,Tipo,Output Shape,Parámetros
conv4_block6_1_bn,BatchNormalization,N/A,1024
conv4_block6_1_relu,Activation,N/A,0
conv4_block6_2_conv,Conv2D,N/A,590080
conv4_block6_2_bn,BatchNormalization,N/A,1024
conv4_block6_2_relu,Activation,N/A,0
conv4_block6_3_conv,Conv2D,N/A,263168
conv4_block6_3_bn,BatchNormalization,N/A,4096
conv4_block6_add,Add,N/A,0
conv4_block6_out,Activation,N/A,0
conv5_block1_1_conv,Conv2D,N/A,524800
conv5_block1_1_bn,BatchNormalization,N/A,2048
conv5_block1_1_relu,Activation,N/A,0
conv5_block1_2_conv,Conv2D,N/A,2359808
conv5_block1_2_bn,BatchNormalization,N/A,2048
conv5_block1_2_relu,Activation,N/A,0
conv5_block1_0_conv,Conv2D,N/A,2099200
conv5_block1_3_conv,Conv2D,N/A,1050624
conv5_block1_0_bn,BatchNormalization,N/A,8192
conv5_block1_3_bn,BatchNormalization,N/A,8192
conv5_block1_add,Add,N/A,0
conv5_block1_out,Activation,N/A,0
conv5_block2_1_conv,Conv2D,N/A,1049088
conv5_block2_1_bn,BatchNormalization,N/A,2048
conv5_block2_1_relu,Activation,N/A,0
conv5_block2_2_conv,Conv2D,N/A,2359808
conv5_block2_2_bn,BatchNormalization,N/A,2048
conv5_block2_2_relu,Activation,N/A,0
conv5_block2_3_conv,Conv2D,N/A,1050624
conv5_block2_3_bn,BatchNormalization,N/A,8192
conv5_block2_add,Add,N/A,0
conv5_block2_out,Activation,N/A,0
conv5_block3_1_conv,Conv2D,N/A,1049088
conv5_block3_1_bn,BatchNormalization,N/A,2048
conv5_block3_1_relu,Activation,N/A,0
conv5_block3_2_conv,Conv2D,N/A,2359808
conv5_block3_2_bn,BatchNormalization,N/A,2048
conv5_block3_2_relu,Activation,N/A,0
conv5_block3_3_conv,Conv2D,N/A,1050624
conv5_block3_3_bn,BatchNormalization,N/A,8192
conv5_block3_add,Add,N/A,0
conv5_block3_out,Activation,N/A,0
global_average_pooling2d,GlobalAveragePooling2D,N/A,0
dense,Dense,N/A,524544
dropout,Dropout,N/A,0
dense_1,Dense,N/A,3855
